Date,Price,Open,High,Low,Change %
17-Mar-19,"3,986.50","4,018.50","4,018.50","3,945.60",-0.54%
16-Mar-19,"4,008.30","3,907.60","4,042.30","3,907.60",2.58%
15-Mar-19,"3,907.60","3,865.00","3,944.80","3,840.20",1.10%
14-Mar-19,"3,865.00","3,878.50","3,905.70","3,653.50",-0.35%
13-Mar-19,"3,878.50","3,879.50","3,892.10","3,843.90",-0.03%
12-Mar-19,"3,879.50","3,859.70","3,902.00","3,813.60",0.51%
11-Mar-19,"3,859.70","3,909.50","4,000.00","3,825.50",-1.27%
10-Mar-19,"3,909.50","3,931.40","3,938.60","3,889.40",-0.56%
09-Mar-19,"3,931.40","3,862.30","3,955.40","3,858.40",1.79%
08-Mar-19,"3,862.30","3,888.60","3,920.70","3,793.40",-0.68%
07-Mar-19,"3,888.60","3,852.00","4,286.00","3,835.40",0.95%
06-Mar-19,"3,852.00","3,847.20","3,891.50","3,814.00",0.13%
05-Mar-19,"3,847.20","3,710.80","3,865.00","3,701.70",3.68%
04-Mar-19,"3,710.80","3,797.80","3,819.30","3,675.10",-2.29%
03-Mar-19,"3,797.80","3,813.70","3,839.00","3,792.70",-0.42%
02-Mar-19,"3,813.70","3,847.20","3,847.80","3,782.20",-0.87%
01-Mar-19,"3,847.20","3,817.80","3,931.30","3,814.00",0.77%
28-Feb-19,"3,817.80","3,802.50","3,879.00","3,775.20",0.40%
27-Feb-19,"3,802.50","3,810.50","3,843.10","3,695.80",-0.21%
26-Feb-19,"3,810.50","3,834.30","3,859.50","3,782.20",-0.62%
25-Feb-19,"3,834.30","3,746.90","3,884.00","3,745.40",2.33%
24-Feb-19,"3,746.90","4,095.20","4,181.40","3,719.20",-8.50%
23-Feb-19,"4,095.20","3,962.80","4,138.70","3,943.50",3.34%
22-Feb-19,"3,962.80","3,922.20","3,984.50","3,922.20",1.04%
21-Feb-19,"3,922.20","3,967.80","4,005.30","3,912.00",-1.15%
20-Feb-19,"3,967.80","3,923.10","3,982.80","3,876.30",1.14%
19-Feb-19,"3,923.10","3,862.30","3,994.10","3,856.90",1.58%
18-Feb-19,"3,862.30","3,661.90","3,909.60","3,643.00",5.47%
17-Feb-19,"3,661.90","3,635.40","3,703.70","3,613.90",0.73%
16-Feb-19,"3,635.40","3,614.30","3,652.20","3,589.00",0.58%
15-Feb-19,"3,614.30","3,596.60","3,644.90","3,582.40",0.49%
14-Feb-19,"3,596.60","3,621.50","3,631.90","3,576.80",-0.69%
13-Feb-19,"3,621.50","3,638.20","3,657.60","3,586.50",-0.46%
12-Feb-19,"3,638.20","3,638.90","3,655.30","3,586.50",-0.02%
11-Feb-19,"3,638.90","3,661.70","3,661.70","3,610.00",-0.62%
10-Feb-19,"3,661.70","3,652.20","3,672.70","3,606.60",0.26%
09-Feb-19,"3,652.20","3,645.50","3,662.50","3,616.70",0.18%
08-Feb-19,"3,645.50","3,415.20","3,705.00","3,377.30",6.74%
07-Feb-19,"3,415.20","3,405.50","3,434.30","3,376.20",0.29%
06-Feb-19,"3,405.50","3,460.90","3,473.00","3,391.40",-1.60%
05-Feb-19,"3,460.90","3,457.20","3,482.70","3,440.00",0.11%
04-Feb-19,"3,457.20","3,456.90","3,482.70","3,421.20",0.01%
03-Feb-19,"3,456.90","3,496.00","3,509.00","3,436.00",-1.12%
02-Feb-19,"3,496.00","3,458.40","3,510.10","3,429.60",1.09%
01-Feb-19,"3,458.40","3,427.10","3,487.70","3,388.90",0.91%
31-Jan-19,"3,427.10","3,444.00","3,463.30","3,022.70",-0.49%
30-Jan-19,"3,444.00","3,399.70","3,473.00","3,092.00",1.30%
29-Jan-19,"3,399.70","3,426.30","3,434.30","3,099.40",-0.78%
28-Jan-19,"3,426.30","3,529.60","3,541.60","3,381.90",-2.93%
27-Jan-19,"3,529.60","3,562.40","3,562.40","2,907.20",-0.92%
26-Jan-19,"3,562.40","3,559.60","3,631.90","3,538.00",0.08%
25-Jan-19,"3,559.60","3,548.90","3,586.40",486,0.30%
24-Jan-19,"3,548.90","3,557.20","3,571.50","3,222.00",-0.23%
23-Jan-19,"3,557.20","3,586.90","4,840.00","3,146.70",-0.83%
22-Jan-19,"3,586.90","3,522.40","3,606.30","3,435.80",1.83%
21-Jan-19,"3,522.40","3,558.90","3,571.50","3,500.00",-1.03%
20-Jan-19,"3,558.90","3,660.40","3,693.30","3,500.00",-2.74%
19-Jan-19,"3,659.30","3,597.90","3,725.60","3,593.30",1.71%
18-Jan-19,"3,597.90","3,619.00","3,621.70","3,576.50",-0.58%
17-Jan-19,"3,619.00","3,597.30","3,628.70","3,562.70",0.60%
16-Jan-19,"3,597.30","3,560.90","3,642.00","3,546.60",1.02%
15-Jan-19,"3,560.90","3,641.70","3,662.50","3,536.00",-2.06%
14-Jan-19,"3,636.00","3,477.80","3,674.00","3,477.80",4.55%
13-Jan-19,"3,477.80","3,611.60","3,621.70","3,468.10",-3.70%
12-Jan-19,"3,611.60","3,606.60","3,637.10","3,557.30",0.14%
11-Jan-19,"3,606.60","3,601.50","3,645.60","3,536.70",0.14%
10-Jan-19,"3,601.50","3,982.90","3,994.10","3,546.60",-9.58%
09-Jan-19,"3,982.90","3,971.30","4,016.50","3,942.20",0.29%
08-Jan-19,"3,971.30","3,960.70","4,052.60","3,921.40",0.27%
07-Jan-19,"3,960.70","4,016.50","4,024.90","3,928.60",-1.39%
06-Jan-19,"4,016.50","3,798.00","4,039.00","3,760.10",5.75%
05-Jan-19,"3,798.00","3,808.70","3,844.90","3,771.60",-0.28%
04-Jan-19,"3,808.70","3,765.60","3,840.80","3,728.30",1.14%
03-Jan-19,"3,765.60","3,867.70","3,867.70","3,723.60",-2.64%
02-Jan-19,"3,867.70","3,814.80","3,886.90","3,750.60",1.39%
01-Jan-19,"3,814.80","3,693.30","3,814.80","3,657.40",3.29%
31-Dec-18,"3,693.30","3,808.70","3,808.70","3,657.40",-3.03%
30-Dec-18,"3,808.70","3,688.20","3,830.00","3,677.90",3.27%
29-Dec-18,"3,688.20","3,830.00","3,873.10","3,688.20",-3.70%
28-Dec-18,"3,830.00","3,556.50","3,865.50","3,556.50",6.94%
27-Dec-18,"3,581.50","3,771.60","3,799.50","3,536.70",-5.04%
26-Dec-18,"3,771.60","3,745.30","3,844.10","3,685.60",0.70%
25-Dec-18,"3,745.30","4,042.00","4,042.00","3,656.90",-7.34%
